home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year,winner
Senegal,Turkey,0,NA,NA,1,NA,NA,Bruno Metsu,NA,Şenol Güneş,NA,NA,İlhan Mansız · 94,44233,"Yanmar Stadium Nagai, Osaka",NA,2002-06-22,0–1,NA,Required Extra Time,Quarter-finals,"Korea Republic, Japan",2002,Turkey
England,Brazil,1,NA,NA,2,NA,NA,Sven-Göran Eriksson,NA,Luiz Felipe Scolari,NA,Michael Owen · 23,Rivaldo · 45+2|Ronaldinho · 50|Ronaldinho · 57,47436,"Daejeon World Cup Stadium, Daejeon",NA,2002-06-21,1–2,NA,NA,Quarter-finals,"Korea Republic, Japan",2002,Brazil
Germany,United States,1,NA,NA,0,NA,NA,Rudi Völler,NA,Bruce Arena,NA,Michael Ballack · 39,NA,37337,"Munsu Cup Stadium, Ulsan",NA,2002-06-21,1–0,NA,NA,Quarter-finals,"Korea Republic, Japan",2002,Germany
Japan,Turkey,0,NA,NA,1,NA,NA,Philippe Troussier,NA,Şenol Güneş,NA,NA,Ümit Davala · 12,45666,"Miyagi Stadium, Rifu",NA,2002-06-18,0–1,NA,NA,Round of 16,"Korea Republic, Japan",2002,Turkey
Korea Republic,Italy,2,NA,NA,1,NA,NA,Guus Hiddink,NA,Giovanni Trapattoni,NA,Seol Ki-hyeon · 88|Ahn Jung-hwan · 117,Christian Vieri · 18|Francesco Totti · 103,38588,"Daejeon World Cup Stadium, Daejeon",NA,2002-06-18,2–1,NA,Required Extra Time,Round of 16,"Korea Republic, Japan",2002,Korea Republic
Mexico,United States,0,NA,NA,2,NA,NA,Javier Aguirre,NA,Bruce Arena,NA,Rafael Márquez · 88,Brian McBride · 8|Landon Donovan · 65,36380,"Jeonju World Cup Stadium, Jeonju",NA,2002-06-17,0–2,NA,NA,Round of 16,"Korea Republic, Japan",2002,United States
Brazil,Belgium,2,NA,NA,0,NA,NA,Luiz Felipe Scolari,NA,Robert Waseige,NA,Rivaldo · 67|Ronaldo · 87,NA,40440,"NOEVIR Stadium Kobe, Kobe",NA,2002-06-17,2–0,NA,NA,Round of 16,"Korea Republic, Japan",2002,Brazil
Sweden,Senegal,1,NA,NA,2,NA,NA,Lars Lagerbäck,NA,Bruno Metsu,NA,Henrik Larsson · 11,Henri Camara · 37|Henri Camara · 104,39747,"Ōita Bank Dome, Ōita",NA,2002-06-16,1–2,NA,Required Extra Time,Round of 16,"Korea Republic, Japan",2002,Senegal
Spain,Republic of Ireland,1,NA,3,1,NA,2,José Antonio Camacho,NA,Mick McCarthy,NA,Fernando Morientes · 8,Robbie Keane (P) · 90,38926,"Suwon World Cup Stadium, Suwon",NA,2002-06-16,(3) 1–1 (2),NA,Spain won on penalty kicks following extra time,Round of 16,"Korea Republic, Japan",2002,Draw
Germany,Paraguay,1,NA,NA,0,NA,NA,Rudi Völler,NA,Cesare Maldini,NA,Oliver Neuville · 88,Roberto Acuña · 90+2,25176,"Jeju World Cup Stadium, Jeju",NA,2002-06-15,1–0,NA,NA,Round of 16,"Korea Republic, Japan",2002,Germany
Denmark,England,0,NA,NA,3,NA,NA,Morten Olsen,NA,Sven-Göran Eriksson,NA,NA,Rio Ferdinand · 5|Michael Owen · 22|Emile Heskey · 44,40582,"Denka Big Swan Stadium, Niigata",NA,2002-06-15,0–3,NA,NA,Round of 16,"Korea Republic, Japan",2002,England
Tunisia,Japan,0,NA,NA,2,NA,NA,Ammar Souayah,NA,Philippe Troussier,NA,NA,Hiroaki Morishima · 48|Hidetoshi Nakata · 75,45213,"Yanmar Stadium Nagai, Osaka",NA,2002-06-14,0–2,NA,NA,Group stage,"Korea Republic, Japan",2002,Japan
Belgium,Russia,3,NA,NA,2,NA,NA,Robert Waseige,NA,Oleg Romantsev,NA,Johan Walem · 7|Wesley Sonck · 78|Marc Wilmots · 82,Vladimir Beschastnykh · 52|Dmitri Sychev · 88,46640,"Shizuoka Stadium Ecopa, Fukuroi",NA,2002-06-14,3–2,NA,NA,Group stage,"Korea Republic, Japan",2002,Belgium
Portugal,Korea Republic,0,NA,NA,1,NA,NA,António Luís Alves Ribeiro Oliveira,NA,Guus Hiddink,NA,João Pinto · 27|Beto · 66,Park Ji-sung · 70,50239,"Incheon Munhak Stadium, Incheon",NA,2002-06-14,0–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Korea Republic
Poland,United States,3,NA,NA,1,NA,NA,Jerzy Engel,NA,Bruce Arena,NA,Emmanuel Olisadebe · 3|Paweł Kryszałowicz · 5|Marcin Żewłakow · 66,Landon Donovan · 83,26482,"Daejeon World Cup Stadium, Daejeon",NA,2002-06-14,3–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Poland
Costa Rica,Brazil,2,NA,NA,5,NA,NA,Alexandre Guimarães,NA,Luiz Felipe Scolari,NA,Paulo Wanchope · 39|Rónald Gómez · 56,Ronaldo · 10|Ronaldo · 13|Edmílson · 38|Rivaldo · 62|Júnior · 64,38524,"Suwon World Cup Stadium, Suwon",NA,2002-06-13,2–5,NA,NA,Group stage,"Korea Republic, Japan",2002,Brazil
Turkey,China PR,3,NA,NA,0,NA,NA,Şenol Güneş,NA,Bora Milutinović,NA,Hasan Şaş · 6|Bülent Korkmaz · 9|Ümit Davala · 85,Shao Jiayi · 58,43605,"Seoul World Cup Stadium, Seoul",NA,2002-06-13,3–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Turkey
Mexico,Italy,1,NA,NA,1,NA,NA,Javier Aguirre,NA,Giovanni Trapattoni,NA,Jared Borgetti · 34,Alessandro Del Piero · 85,39291,"Ōita Bank Dome, Ōita",NA,2002-06-13,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Ecuador,Croatia,1,NA,NA,0,NA,NA,Hernán Darío Gómez,NA,Mirko Jozić,NA,Édison Méndez · 48,NA,65862,"Nissan Stadium, Yokohama",NA,2002-06-13,1–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Ecuador
Sweden,Argentina,1,NA,NA,1,NA,NA,Lars Lagerbäck,NA,Marcelo Bielsa,NA,Anders Svensson · 59,Hernán Crespo · 88,45777,"Miyagi Stadium, Rifu",NA,2002-06-12,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Nigeria,England,0,NA,NA,0,NA,NA,Festus Onigbinde,NA,Sven-Göran Eriksson,NA,NA,NA,44864,"Yanmar Stadium Nagai, Osaka",NA,2002-06-12,0–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
South Africa,Spain,2,NA,NA,3,NA,NA,Jomo Sono,NA,José Antonio Camacho,NA,Benni McCarthy · 31|Lucas Radebe · 53,Raúl · 4|Gaizka Mendieta · 45+1|Raúl · 56,31024,"Daejeon World Cup Stadium, Daejeon",NA,2002-06-12,2–3,NA,NA,Group stage,"Korea Republic, Japan",2002,Spain
Slovenia,Paraguay,1,NA,NA,3,NA,NA,Srečko Katanec,NA,Cesare Maldini,NA,Milenko Ačimovič · 45+1|Nastja Čeh · 81,Carlos Paredes · 22|Nelson Cuevas · 65|Jorge Luis Campos · 73|Nelson Cuevas · 84,30176,"Jeju World Cup Stadium, Jeju",NA,2002-06-12,1–3,NA,NA,Group stage,"Korea Republic, Japan",2002,Paraguay
Denmark,France,2,NA,NA,0,NA,NA,Morten Olsen,NA,Roger Lemerre,NA,Dennis Rommedahl · 22|Jon Dahl Tomasson · 67,NA,48100,"Incheon Munhak Stadium, Incheon",NA,2002-06-11,2–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Denmark
Senegal,Uruguay,3,NA,NA,3,NA,NA,Bruno Metsu,NA,Víctor Púa,NA,Khalilou Fadiga · 20|Papa Bouba Diop · 26|Papa Bouba Diop · 38,Richard Morales · 46|Diego Forlán · 69|Álvaro Recoba (P) · 88,33681,"Suwon World Cup Stadium, Suwon",NA,2002-06-11,3–3,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Saudi Arabia,Republic of Ireland,0,NA,NA,3,NA,NA,Nasser Al-Johar,NA,Mick McCarthy,NA,NA,Robbie Keane · 7|Gary Breen · 61|Damien Duff · 87,65320,"Nissan Stadium, Yokohama",NA,2002-06-11,0–3,NA,NA,Group stage,"Korea Republic, Japan",2002,Republic of Ireland
Cameroon,Germany,0,NA,NA,2,NA,NA,Winfried Schäfer,NA,Rudi Völler,NA,Patrick Suffo · 77,Carsten Ramelow · 40|Marco Bode · 50|Miroslav Klose · 79,47085,"Shizuoka Stadium Ecopa, Fukuroi",NA,2002-06-11,0–2,NA,NA,Group stage,"Korea Republic, Japan",2002,Germany
Korea Republic,United States,1,NA,NA,1,NA,NA,Guus Hiddink,NA,Bruce Arena,NA,Ahn Jung-hwan · 78,Clint Mathis · 24,60778,"Daegu Main Stadium, Daegu",NA,2002-06-10,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Tunisia,Belgium,1,NA,NA,1,NA,NA,Ammar Souayah,NA,Robert Waseige,NA,Raouf Bouzaiene · 17,Marc Wilmots · 13,39700,"Ōita Bank Dome, Ōita",NA,2002-06-10,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Portugal,Poland,4,NA,NA,0,NA,NA,António Luís Alves Ribeiro Oliveira,NA,Jerzy Engel,NA,Pauleta · 14|Pauleta · 65|Pauleta · 77|Rui Costa · 88,NA,31000,"Jeonju World Cup Stadium, Jeonju",NA,2002-06-10,4–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Portugal
Mexico,Ecuador,2,NA,NA,1,NA,NA,Javier Aguirre,NA,Hernán Darío Gómez,NA,Jared Borgetti · 28|Gerardo Torrado · 57,Agustín Delgado · 5,45610,"Sapporo Dome, Sapporo",NA,2002-06-09,2–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Mexico
Costa Rica,Turkey,1,NA,NA,1,NA,NA,Alexandre Guimarães,NA,Şenol Güneş,NA,Winston Parks · 86,Emre Belözoğlu · 56,42299,"Incheon Munhak Stadium, Incheon",NA,2002-06-09,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Japan,Russia,1,NA,NA,0,NA,NA,Philippe Troussier,NA,Oleg Romantsev,NA,Junichi Inamoto · 51,NA,66108,"Nissan Stadium, Yokohama",NA,2002-06-09,1–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Japan
South Africa,Slovenia,1,NA,NA,0,NA,NA,Jomo Sono,NA,Srečko Katanec,NA,Siyabonga Nomvethe · 4,NA,47226,"Daegu Main Stadium, Daegu",NA,2002-06-08,1–0,NA,NA,Group stage,"Korea Republic, Japan",2002,South Africa
Italy,Croatia,1,NA,NA,2,NA,NA,Giovanni Trapattoni,NA,Mirko Jozić,NA,Christian Vieri · 55,Ivica Olić · 73|Milan Rapaić · 76,36472,"Kashima Soccer Stadium, Kashima",NA,2002-06-08,1–2,NA,NA,Group stage,"Korea Republic, Japan",2002,Croatia
Brazil,China PR,4,NA,NA,0,NA,NA,Luiz Felipe Scolari,NA,Bora Milutinović,NA,Roberto Carlos · 15|Rivaldo · 32|Ronaldinho (P) · 45|Ronaldo · 55,NA,36750,"Jeju World Cup Stadium, Jeju",NA,2002-06-08,4–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Brazil
Sweden,Nigeria,2,NA,NA,1,NA,NA,Tommy Söderberg,NA,Festus Onigbinde,NA,Henrik Larsson · 35|Henrik Larsson (P) · 63,Julius Aghahowa · 27,36194,"NOEVIR Stadium Kobe, Kobe",NA,2002-06-07,2–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Sweden
Spain,Paraguay,3,NA,NA,1,NA,NA,José Antonio Camacho,NA,Cesare Maldini,NA,Fernando Morientes · 53|Fernando Morientes · 69|Fernando Hierro (P) · 83,Carles Puyol (OG) · 10,24000,"Jeonju World Cup Stadium, Jeonju",NA,2002-06-07,3–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Spain
Argentina,England,0,NA,NA,1,NA,NA,Marcelo Bielsa,NA,Sven-Göran Eriksson,NA,NA,David Beckham (P) · 44,35927,"Sapporo Dome, Sapporo",NA,2002-06-07,0–1,NA,NA,Group stage,"Korea Republic, Japan",2002,England
Denmark,Senegal,1,NA,NA,1,NA,NA,Morten Olsen,NA,Bruno Metsu,NA,Jon Dahl Tomasson (P) · 16,Salif Diao · 52|Salif Diao · 80,43500,"Daegu Main Stadium, Daegu",NA,2002-06-06,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Cameroon,Saudi Arabia,1,NA,NA,0,NA,NA,Winfried Schäfer,NA,Nasser Al-Johar,NA,Samuel Eto'o · 66,NA,52328,"Saitama Stadium 2002, Saitama",NA,2002-06-06,1–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Cameroon
France,Uruguay,0,NA,NA,0,NA,NA,Roger Lemerre,NA,Víctor Púa,NA,Thierry Henry · 25,NA,38070,"Busan Sport Complex Asiad Stadium, Busan",NA,2002-06-06,0–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Russia,Tunisia,2,NA,NA,0,NA,NA,Oleg Romantsev,NA,Ammar Souayah,NA,Yegor Titov · 59|Valeri Karpin (P) · 64,NA,30957,"NOEVIR Stadium Kobe, Kobe",NA,2002-06-05,2–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Russia
United States,Portugal,3,NA,NA,2,NA,NA,Bruce Arena,NA,António Luís Alves Ribeiro Oliveira,NA,John O'Brien · 4|Jorge Costa (OG) · 29|Brian McBride · 36,Beto · 39|Jeff Agoos (OG) · 71,37306,"Suwon World Cup Stadium, Suwon",NA,2002-06-05,3–2,NA,NA,Group stage,"Korea Republic, Japan",2002,United States
Germany,Republic of Ireland,1,NA,NA,1,NA,NA,Rudi Völler,NA,Mick McCarthy,NA,Miroslav Klose · 19,Robbie Keane · 90+2,35854,"Kashima Soccer Stadium, Kashima",NA,2002-06-05,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
China PR,Costa Rica,0,NA,NA,2,NA,NA,Bora Milutinović,NA,Alexandre Guimarães,NA,NA,Rónald Gómez · 61|Mauricio Wright · 65,27217,"Guus Hiddink Stadium, Gwangju",NA,2002-06-04,0–2,NA,NA,Group stage,"Korea Republic, Japan",2002,Costa Rica
Japan,Belgium,2,NA,NA,2,NA,NA,Philippe Troussier,NA,Robert Waseige,NA,Takayuki Suzuki · 59|Junichi Inamoto · 67,Marc Wilmots · 57|Peter Van der Heyden · 75,55256,"Saitama Stadium 2002, Saitama",NA,2002-06-04,2–2,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Korea Republic,Poland,2,NA,NA,0,NA,NA,Guus Hiddink,NA,Jerzy Engel,NA,Hwang Sun-hong · 26|Yoo Sang-chul · 53,NA,48760,"Busan Sport Complex Asiad Stadium, Busan",NA,2002-06-04,2–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Korea Republic
Croatia,Mexico,0,NA,NA,1,NA,NA,Mirko Jozić,NA,Javier Aguirre,NA,Boris Živković · 59,Cuauhtémoc Blanco (P) · 60,32239,"Denka Big Swan Stadium, Niigata",NA,2002-06-03,0–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Mexico
Brazil,Turkey,2,NA,NA,1,NA,NA,Luiz Felipe Scolari,NA,Şenol Güneş,NA,Ronaldo · 50|Rivaldo (P) · 87,Hasan Şaş · 45+2|Alpay Özalan · 86|Hakan Ünsal · 90+4,33842,"Munsu Cup Stadium, Ulsan",NA,2002-06-03,2–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Brazil
Italy,Ecuador,2,NA,NA,0,NA,NA,Giovanni Trapattoni,NA,Hernán Darío Gómez,NA,Christian Vieri · 7|Christian Vieri · 27,NA,31081,"Sapporo Dome, Sapporo",NA,2002-06-03,2–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Italy
Argentina,Nigeria,1,NA,NA,0,NA,NA,Marcelo Bielsa,NA,Festus Onigbinde,NA,Gabriel Batistuta · 63,NA,34050,"Kashima Soccer Stadium, Kashima",NA,2002-06-02,1–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Argentina
Paraguay,South Africa,2,NA,NA,2,NA,NA,Cesare Maldini,NA,Jomo Sono,NA,Roque Santa Cruz · 39|Francisco Arce · 55,Teboho Mokoena · 63|Quinton Fortune (P) · 90+1,25186,"Busan Sport Complex Asiad Stadium, Busan",NA,2002-06-02,2–2,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
England,Sweden,1,NA,NA,1,NA,NA,Sven-Göran Eriksson,NA,Tommy Söderberg,NA,Sol Campbell · 24,Niclas Alexandersson · 59,52721,"Saitama Stadium 2002, Saitama",NA,2002-06-02,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Spain,Slovenia,3,NA,NA,1,NA,NA,José Antonio Camacho,NA,Srečko Katanec,NA,Raúl · 44|Juan Carlos Valerón · 74|Fernando Hierro (P) · 87,Sebastjan Cimirotič · 82,28588,"Guus Hiddink Stadium, Gwangju",NA,2002-06-02,3–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Spain
Republic of Ireland,Cameroon,1,NA,NA,1,NA,NA,Mick McCarthy,NA,Winfried Schäfer,NA,Matt Holland · 52,Patrick M'Boma · 39,33679,"Denka Big Swan Stadium, Niigata",NA,2002-06-01,1–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Draw
Uruguay,Denmark,1,NA,NA,2,NA,NA,Víctor Púa,NA,Morten Olsen,NA,Darío Rodríguez · 47,Jon Dahl Tomasson · 45|Jon Dahl Tomasson · 83,30157,"Munsu Cup Stadium, Ulsan",NA,2002-06-01,1–2,NA,NA,Group stage,"Korea Republic, Japan",2002,Denmark
Germany,Saudi Arabia,8,NA,NA,0,NA,NA,Rudi Völler,NA,Nasser Al-Johar,NA,Miroslav Klose · 20|Miroslav Klose · 25|Michael Ballack · 40|Carsten Jancker · 45+1|Miroslav Klose · 70|Thomas Linke · 72|Oliver Bierhoff · 84|Bernd Schneider · 90+2,NA,32218,"Sapporo Dome, Sapporo",NA,2002-06-01,8–0,NA,NA,Group stage,"Korea Republic, Japan",2002,Germany
France,Senegal,0,NA,NA,1,NA,NA,Roger Lemerre,NA,Bruno Metsu,NA,NA,Pape Malick Diop · 30,62561,"Seoul World Cup Stadium, Seoul",NA,2002-05-31,0–1,NA,NA,Group stage,"Korea Republic, Japan",2002,Senegal
Brazil,France,0,NA,NA,3,NA,NA,Mário Zagallo,NA,Aimé Jacquet,NA,NA,Zinédine Zidane · 27|Zinédine Zidane · 45|Marcel Desailly · 68|Emmanuel Petit · 90,80000,"Stade de France, Paris",NA,1998-07-12,0–3,NA,NA,Final,France,1998,France
Netherlands,Croatia,1,NA,NA,2,NA,NA,Guus Hiddink,NA,Miroslav Blažević,NA,Boudewijn Zenden · 21,Robert Prosinečki · 13|Davor Šuker · 35,44000,"Parc des Princes, Paris",NA,1998-07-11,1–2,NA,NA,Third-place match,France,1998,Croatia
France,Croatia,2,NA,NA,1,NA,NA,Aimé Jacquet,NA,Miroslav Blažević,NA,Lilian Thuram · 47|Lilian Thuram · 70|Laurent Blanc · 76,Davor Šuker · 46,80000,"Stade de France, Paris",NA,1998-07-08,2–1,NA,NA,Semi-finals,France,1998,France
Brazil,Netherlands,1,NA,4,1,NA,2,Mário Zagallo,NA,Guus Hiddink,NA,Ronaldo · 46,Patrick Kluivert · 87,60000,"Orange Vélodrome, Marseille",NA,1998-07-07,(4) 1–1 (2),NA,Brazil won on penalty kicks following extra time,Semi-finals,France,1998,Draw
Netherlands,Argentina,2,NA,NA,1,NA,NA,Guus Hiddink,NA,Daniel Passarella,NA,Patrick Kluivert · 12|Arthur Numan · 76|Dennis Bergkamp · 89,Claudio López · 17|Ariel Ortega · 87,60000,"Orange Vélodrome, Marseille",NA,1998-07-04,2–1,NA,NA,Quarter-finals,France,1998,Netherlands
Germany,Croatia,0,NA,NA,3,NA,NA,Berti Vogts,NA,Miroslav Blažević,NA,Christian Wörns · 40,Robert Jarni · 45|Goran Vlaović · 80|Davor Šuker · 85,43300,"Matmut Stadium de Gerland, Lyon",NA,1998-07-04,0–3,NA,NA,Quarter-finals,France,1998,Croatia
Italy,France,0,NA,3,0,NA,4,Cesare Maldini,NA,Aimé Jacquet,NA,NA,NA,80000,"Stade de France, Paris",NA,1998-07-03,(3) 0–0 (4),NA,France won on penalty kicks following extra time,Quarter-finals,France,1998,Draw
Brazil,Denmark,3,NA,NA,2,NA,NA,Mário Zagallo,NA,Bo Johansson,NA,Bebeto · 10|Rivaldo · 27|Rivaldo · 60,Martin Jørgensen · 2|Brian Laudrup · 50,49500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",NA,1998-07-03,3–2,NA,NA,Quarter-finals,France,1998,Brazil
Romania,Croatia,0,NA,NA,1,NA,NA,Anghel Iordănescu,NA,Miroslav Blažević,NA,NA,Davor Šuker (P) · 45,31800,"Stade Jacques Chaban-Delmas, Bordeaux",NA,1998-06-30,0–1,NA,NA,Round of 16,France,1998,Croatia
Argentina,England,2,NA,4,2,NA,3,Daniel Passarella,NA,Glenn Hoddle,NA,Gabriel Batistuta (P) · 5|Javier Zanetti · 45,Alan Shearer (P) · 9|Michael Owen · 16|David Beckham · 47,30600,"Stade Geoffroy-Guichard, Saint-Étienne",NA,1998-06-30,(4) 2–2 (3),NA,Argentina won on penalty kicks following extra time,Round of 16,France,1998,Draw
Germany,Mexico,2,NA,NA,1,NA,NA,Berti Vogts,NA,Manuel Lapuente,NA,Jürgen Klinsmann · 75|Oliver Bierhoff · 86,Luis Hernández · 47,29800,"Stade de la Mosson, Montpellier",NA,1998-06-29,2–1,NA,NA,Round of 16,France,1998,Germany
Netherlands,FR Yugoslavia,2,NA,NA,1,NA,NA,Guus Hiddink,NA,Slobodan Santrač,NA,Dennis Bergkamp · 38|Edgar Davids · 90,Slobodan Komljenović · 48,33000,"Stadium Municipal, Toulouse",NA,1998-06-29,2–1,NA,NA,Round of 16,France,1998,Netherlands
France,Paraguay,1,NA,NA,0,NA,NA,Aimé Jacquet,NA,Paulo César Carpegiani,NA,Laurent Blanc · 114,NA,31800,"Stade Bollaert-Delelis, Lens",NA,1998-06-28,1–0,NA,Required Extra Time,Round of 16,France,1998,France
Nigeria,Denmark,1,NA,NA,4,NA,NA,Bora Milutinović,NA,Bo Johansson,NA,Tijani Babangida · 77,Peter Møller · 3|Brian Laudrup · 12|Ebbe Sand · 60|Thomas Helveg · 76,77000,"Stade de France, Paris",NA,1998-06-28,1–4,NA,NA,Round of 16,France,1998,Denmark
Italy,Norway,1,NA,NA,0,NA,NA,Cesare Maldini,NA,Egil Olsen,NA,Christian Vieri · 18,NA,55000,"Orange Vélodrome, Marseille",NA,1998-06-27,1–0,NA,NA,Round of 16,France,1998,Italy
Brazil,Chile,4,NA,NA,1,NA,NA,Mário Zagallo,NA,Nelson Acosta,NA,César Sampaio · 11|César Sampaio · 26|Ronaldo (P) · 45|Ronaldo · 70,Marcelo Salas · 68,45500,"Parc des Princes, Paris",NA,1998-06-27,4–1,NA,NA,Round of 16,France,1998,Brazil
Argentina,Croatia,1,NA,NA,0,NA,NA,Daniel Passarella,NA,Miroslav Blažević,NA,Mauricio Pineda · 36,NA,31800,"Stade Jacques Chaban-Delmas, Bordeaux",NA,1998-06-26,1–0,NA,NA,Group stage,France,1998,Argentina
Japan,Jamaica,1,NA,NA,2,NA,NA,Takeshi Okada,NA,René Simões,NA,Masashi Nakayama · 74,Theodore Whitmore · 39|Theodore Whitmore · 54,39100,"Matmut Stadium de Gerland, Lyon",NA,1998-06-26,1–2,NA,NA,Group stage,France,1998,Jamaica
Romania,Tunisia,1,NA,NA,1,NA,NA,Anghel Iordănescu,NA,Ali Selmi,NA,Viorel Moldovan · 72,Skander Souayah (P) · 10,80000,"Stade de France, Paris",NA,1998-06-26,1–1,NA,NA,Group stage,France,1998,Draw
Colombia,England,0,NA,NA,2,NA,NA,Hernán Darío Gómez,NA,Glenn Hoddle,NA,NA,Darren Anderton · 20|David Beckham · 29,42000,"Stade Bollaert-Delelis, Lens",NA,1998-06-26,0–2,NA,NA,Group stage,France,1998,England
Netherlands,Mexico,2,NA,NA,2,NA,NA,Guus Hiddink,NA,Manuel Lapuente,NA,Phillip Cocu · 4|Ronald de Boer · 18,Ricardo Peláez · 75|Ramón Ramírez · 89|Claudio Suárez · 90,30600,"Stade Geoffroy-Guichard, Saint-Étienne",NA,1998-06-25,2–2,NA,NA,Group stage,France,1998,Draw
Belgium,Korea Republic,1,NA,NA,1,NA,NA,Georges Leekens,NA,Kim Pyung-seok,NA,Luc Nilis · 7,Yoo Sang-chul · 71,45500,"Parc des Princes, Paris",NA,1998-06-25,1–1,NA,NA,Group stage,France,1998,Draw
United States,FR Yugoslavia,0,NA,NA,1,NA,NA,Steve Sampson,NA,Slobodan Santrač,NA,NA,Slobodan Komljenović · 4,38500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",NA,1998-06-25,0–1,NA,NA,Group stage,France,1998,FR Yugoslavia
Germany,IR Iran,2,NA,NA,0,NA,NA,Berti Vogts,NA,Jalal Talebi,NA,Oliver Bierhoff · 50|Jürgen Klinsmann · 58,NA,35500,"Stade de la Mosson, Montpellier",NA,1998-06-25,2–0,NA,NA,Group stage,France,1998,Germany
South Africa,Saudi Arabia,2,NA,NA,2,NA,NA,Philippe Troussier,NA,Mohammed Al-Kharashy,NA,Shaun Bartlett · 18|Shaun Bartlett (P) · 90,Sami Al-Jaber (P) · 45|Yousuf Al-Thunayan (P) · 74,31800,"Stade Jacques Chaban-Delmas, Bordeaux",NA,1998-06-24,2–2,NA,NA,Group stage,France,1998,Draw
France,Denmark,2,NA,NA,1,NA,NA,Aimé Jacquet,NA,Bo Johansson,NA,Youri Djorkaeff (P) · 12|Emmanuel Petit · 57,Michael Laudrup (P) · 42,39100,"Matmut Stadium de Gerland, Lyon",NA,1998-06-24,2–1,NA,NA,Group stage,France,1998,France
Spain,Bulgaria,6,NA,NA,1,NA,NA,Javier Clemente,NA,Hristo Bonev,NA,Fernando Hierro (P) · 6|Luis Enrique · 18|Fernando Morientes · 55|Fernando Morientes · 81|Georgi Bachev (OG) · 88|Kiko · 90,Emil Kostadinov · 58,41275,"Stade Bollaert-Delelis, Lens",NA,1998-06-24,6–1,NA,NA,Group stage,France,1998,Spain
Nigeria,Paraguay,1,NA,NA,3,NA,NA,Bora Milutinović,NA,Paulo César Carpegiani,NA,Wilson Oruma · 11,Celso Ayala · 1|Miguel Ángel Benítez · 59|José Cardozo · 86,33400,"Stadium Municipal, Toulouse",NA,1998-06-24,1–3,NA,NA,Group stage,France,1998,Paraguay
Italy,Austria,2,NA,NA,1,NA,NA,Cesare Maldini,NA,Herbert Prohaska,NA,Christian Vieri · 49|Roberto Baggio · 90,Andreas Herzog (P) · 90,80000,"Stade de France, Paris",NA,1998-06-23,2–1,NA,NA,Group stage,France,1998,Italy
Chile,Cameroon,1,NA,NA,1,NA,NA,Nelson Acosta,NA,Claude Le Roy,NA,José Luis Sierra · 20,Rigobert Song · 51|Patrick M'Boma · 56|Lauren · 88,39500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",NA,1998-06-23,1–1,NA,NA,Group stage,France,1998,Draw
Brazil,Norway,1,NA,NA,2,NA,NA,Mário Zagallo,NA,Egil Olsen,NA,Bebeto · 78,Tore André Flo · 83|Kjetil Rekdal (P) · 89,57000,"Orange Vélodrome, Marseille",NA,1998-06-23,1–2,NA,NA,Group stage,France,1998,Norway
