home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year,winner
England,France,3,NA,NA,1,NA,NA,Ron Greenwood,Mick Mills,Michel Hidalgo,Michel Platini,Bryan Robson · 1|Bryan Robson · 67|Paul Mariner · 83,Gérard Soler · 24,44172,"San Mames, Bilbao",Antonio Garrido (Referee) · Gaston Castro (AR1) · Arnaldo Coelho (AR2),1982-06-16,3–1,Antonio Garrido,NA,First group stage,Spain,1982,England
West Germany,Algeria,1,NA,NA,2,NA,NA,Jupp Derwall,Karl-Heinz Rummenigge,Rachid Mekhloufi,Ali Fergani,Karl-Heinz Rummenigge · 67,Rabah Madjer · 54|Lakhdar Belloumi · 68,42000,"El Molinon, Gijon",Enrique Labo Revoredo (Referee) · Gilberto Aristizabal Murcia (AR1) · Paolo Casarin (AR2),1982-06-16,1–2,Enrique Labo Revoredo,NA,First group stage,Spain,1982,Algeria
Spain,Honduras,1,NA,NA,1,NA,NA,Jose Santamaria,Luis Arconada,Jose De La Paz,Ramón Maradiaga,Roberto López Ufarte (P) · 65,Héctor Zelaya · 7,49562,"Luis Casanova, Valencia",Arturo Andres Ithurralde (Referee) · Bogdan Dotchev (AR1) · Luis Barrancos (AR2),1982-06-16,1–1,Arturo Andres Ithurralde,NA,First group stage,Spain,1982,Draw
Peru,Cameroon,0,NA,NA,0,NA,NA,Tim,Rubén Toribio Díaz,Jean Vincent,Thomas N'Kono,NA,NA,11000,"Riazor, La Coruï¿½A",Franz Woehrer (Referee) · Nicolae Rainea (AR1) · Adolf Prokop (AR2),1982-06-15,0–0,Franz Woehrer,NA,First group stage,Spain,1982,Draw
Hungary,El Salvador,10,NA,NA,1,NA,NA,Kalman Meszoly,Tibor Nyilasi,Mauricio Rodriguez,Norberto Huezo,Tibor Nyilasi · 4|Gábor Pölöskei · 11|László Fazekas · 23|József Tóth · 50|László Fazekas · 54|László Kiss · 69|Lázár Szentes · 70|László Kiss · 72|László Kiss · 76|Tibor Nyilasi · 83,Luis Ramírez Zapata · 64,23000,"Nuevo Estadio, Elche",Ebrahim Al Doy (Referee) · Charles Corver (AR1) · Henning Lund-Sorensen (AR2),1982-06-15,10–1 ,Ebrahim Al Doy,NA,First group stage,Spain,1982,Hungary
Scotland,New Zealand,5,NA,NA,2,NA,NA,Jock Stein,Danny McGrain,John Adshead,Steve Sumner,Kenny Dalglish · 18|John Wark · 29|John Wark · 32|John Robertson · 73|Steve Archibald · 79,Steve Sumner · 54|Steve Wooddin · 64,36000,"La Rosaleda, Malaga",David Socha (Referee) · Thomson Tam Sun Chan (AR1) · Yusef Mohamed El Ghoul (AR2),1982-06-15,5–2,David Socha,NA,First group stage,Spain,1982,Scotland
Italy,Poland,0,NA,NA,0,NA,NA,Enzo Bearzot,Dino Zoff,Antoni Piechniczek,Władysław Żmuda,NA,NA,33000,"Estadio Municipal de Balaï¿½dos, Vigo",Michel Vautrot (Referee) · Adolf Prokop (AR1) · Nicolae Rainea (AR2),1982-06-14,0–0,Michel Vautrot,NA,First group stage,Spain,1982,Draw
Brazil,Soviet Union,2,NA,NA,1,NA,NA,Tele Santana,Sócrates,Konstantin Beskov,Aleksandre Chivadze,Sócrates · 75|Éder Aleixo de Assis · 88,Andriy Bal · 34,68000,"Ramon Sanchez Pizjuan, Seville",Augusto Lamo Castillo (Referee) · Victoriano Sanchez Arminio (AR1) · Jose L. Garcia Carrion (AR2),1982-06-14,2–1,Augusto Lamo Castillo,NA,First group stage,Spain,1982,Brazil
Argentina,Belgium,0,NA,NA,1,NA,NA,Cesar Luis Menotti,Daniel Passarella,Guy Thys,Eric Gerets,NA,Erwin Vandenbergh · 62,95000,"Camp Nou, Barcelona",Vojtech Christov (Referee) · Karoly Palotai (AR1) · Alojzy Jarguz (AR2),1982-06-13,0–1,Vojtech Christov,NA,First group stage,Spain,1982,Belgium
Argentina,Netherlands,3,NA,NA,1,NA,NA,Cesar Luis Menotti,Daniel Passarella,Ernst Happel,Ruud Krol,Mario Kempes · 38|Mario Kempes · 105|Daniel Bertoni · 115,Dick Nanninga · 82,71483,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Sergio Gonella (Referee) · Ramon Barreto Ruiz (AR1) · Erich Linemayr (AR2),1978-06-25,3–1,Sergio Gonella,Required Extra Time,Final,Argentina,1978,Argentina
