team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Argentina,2,NA,NA,Cesar Luis Menotti,Daniel Passarella,Daniel Passarella (P) · 22|Daniel Bertoni · 54,32500,"Jose Rico Perez, Alicante",Luis Barrancos (Referee) · Augusto Lamo Castillo (AR1) · Belaid Lacarne (AR2),1982-06-23,Luis Barrancos,NA,First group stage,Spain,1982,Y,1
Brazil,4,NA,NA,Tele Santana,Sócrates,Zico · 28|Zico · 31|Paulo Roberto Falcão · 64|Serginho Chulapa · 70,43000,"Benito Villamarin, Seville",Damir Matovinovic (Referee) · Abraham Klein (AR1) · Charles Corver (AR2),1982-06-23,Damir Matovinovic,NA,First group stage,Spain,1982,Y,1
Poland,5,NA,NA,Antoni Piechniczek,Władysław Żmuda,Włodzimierz Smolarek · 55|Grzegorz Lato · 58|Zbigniew Boniek · 61|Andrzej Buncol · 68|Włodzimierz Ciołek · 76,25000,"Riazor, La Coruï¿½A",Mario Rubio Vazquez (Referee) · Emilio Soriano Aladren (AR1) · Victoriano Sanchez Arminio (AR2),1982-06-22,Mario Rubio Vazquez,NA,First group stage,Spain,1982,Y,1
Belgium,1,NA,NA,Guy Thys,Eric Gerets,Alexandre Czerniatynski · 76,37000,"Nuevo Estadio, Elche",Clive White (Referee) · Walter Eschweiler (AR1) · Belaid Lacarne (AR2),1982-06-22,Clive White,NA,First group stage,Spain,1982,Y,0.5
Soviet Union,2,NA,NA,Konstantin Beskov,Aleksandre Chivadze,Aleksandre Chivadze · 59|Ramaz Shengelia · 84,45000,"La Rosaleda, Malaga",Nicolae Rainea (Referee) · Alojzy Jarguz (AR1) · Alexis Ponnet (AR2),1982-06-22,Nicolae Rainea,NA,First group stage,Spain,1982,Y,0.5
Algeria,0,NA,NA,Rachid Mekhloufi,Ali Fergani,NA,22000,"Carlos Tartiere, Oviedo",Tony Boskovic (Referee) · Vojtech Christov (AR1) · Ebrahim Al Doy (AR2),1982-06-21,Tony Boskovic,NA,First group stage,Spain,1982,Y,0
France,4,NA,NA,Michel Hidalgo,Michel Platini,Bernard Genghini · 31|Michel Platini · 43|Didier Six · 48|Maxime Bossis · 89,30043,"Jose Zorrilla, Valladolid",Miroslav Stupar (Referee) · Erik Fredriksson (AR1) · Damir Matovinovic (AR2),1982-06-21,Miroslav Stupar,NA,First group stage,Spain,1982,Y,1
Honduras,1,NA,NA,Jose De La Paz,Ramón Maradiaga,Eduardo Laing · 60,15000,"La Romareda, Zaragoza",Thomson Tam Sun Chan (Referee) · Enrique Labo Revoredo (AR1) · Paolo Casarin (AR2),1982-06-21,Thomson Tam Sun Chan,NA,First group stage,Spain,1982,Y,0.5
West Germany,4,NA,NA,Jupp Derwall,Karl-Heinz Rummenigge,Karl-Heinz Rummenigge · 9|Karl-Heinz Rummenigge · 57|Karl-Heinz Rummenigge · 66|Uwe Reinders · 83,42000,"El Molinon, Gijon",Bruno Galler (Referee) · Vojtech Christov (AR1) · Tony Boskovic (AR2),1982-06-20,Bruno Galler,NA,First group stage,Spain,1982,Y,1
England,2,NA,NA,Ron Greenwood,Mick Mills,Trevor Francis · 62|Jozef Barmoš (OG) · 66,41123,"San Mames, Bilbao",Charles Corver (Referee) · Bogdan Dotchev (AR1) · Gilberto Aristizabal Murcia (AR2),1982-06-20,Charles Corver,NA,First group stage,Spain,1982,Y,1
