team,score,xg,penalty,manager,captain,goals,Attendance,Venue,Officials,Date,Referee,Notes,Round,Host,Year,home,win
Republic of Ireland,0,NA,NA,Jack Charlton,Andy Townsend,NA,61355,"Citrus Bowl, Orlando",Peter Mikkelsen (Referee) · Gordon Dunster (AR1) · Eugene Brazzale (AR2),1994-07-04,Peter Mikkelsen,NA,Round of 16,United States,1994,N,0
United States,0,NA,NA,Bora Milutinovic,Tony Meola,Fernando Clavijo · 85,84147,"Stanford Stadium, San Francisco",Joel Quiniou (Referee) · Hae-Yong Park (AR1) · Mikael Everstig (AR2),1994-07-04,Joel Quiniou,NA,Round of 16,United States,1994,N,0
Sweden,3,NA,NA,Tommy Svensson,Jonas Thern,Martin Dahlin · 6|Kennet Andersson · 51|Kennet Andersson · 88,60277,"Cotton Bowl, Dallas",Renato Marsiglia (Referee) · Paulo Jorge Alves (AR1) · Raimundo Calix Garcia (AR2),1994-07-03,Renato Marsiglia,NA,Round of 16,United States,1994,N,1
Argentina,2,NA,NA,Alfio Basile,Oscar Ruggeri,Gabriel Batistuta (P) · 16|Abel Balbo · 75,90469,"Rose Bowl, Los Angeles",Pierluigi Pairetto (Referee) · Domenico Ramicone (AR1) · Luc Matthys (AR2),1994-07-03,Pierluigi Pairetto,NA,Round of 16,United States,1994,N,0
Belgium,2,NA,NA,Paul Van Himst,Georges Grün,Georges Grün · 8|Philippe Albert · 90,60246,"Soldier Field, Chicago",Kurt Roethlisberger (Referee) · Michal Listkiewicz (AR1) · Carl-Johan Meyer Christensen (AR2),1994-07-02,Kurt Roethlisberger,NA,Round of 16,United States,1994,N,0
Switzerland,0,NA,NA,Roy Hodgson,Alain Geiger,NA,53121,"RFK Stadium, Washington Dc",Mario Van Der Ende (Referee) · Jan Dolstra (AR1) · Sandor Marton (AR2),1994-07-02,Mario Van Der Ende,NA,Round of 16,United States,1994,N,0
Nigeria,2,NA,NA,Clemens Westerhof,Stephen Keshi,Finidi George · 45|Daniel Amokachi · 90,53001,"Foxboro Stadium, Boston",Leslie Mottram (Referee) · Hae-Yong Park (AR1) · Paulo Jorge Alves (AR2),1994-06-30,Leslie Mottram,NA,Group stage,United States,1994,N,1
Bulgaria,2,NA,NA,Dimitar Penev,Borislav Mikhailov,Hristo Stoichkov · 61|Tsanko Tsvetanov · 67|Nasko Sirakov · 90,63998,"Cotton Bowl, Dallas",Neji Jouini (Referee) · Tapio Yli-Karro (AR1) · El Jilali Mohamed Rharib (AR2),1994-06-30,Neji Jouini,NA,Group stage,United States,1994,N,1
Netherlands,2,NA,NA,Dick Advocaat,Ronald Koeman,Dennis Bergkamp · 43|Bryan Roy · 77,60578,"Citrus Bowl, Orlando",Alberto Tejada Noriega (Referee) · Venancio Zarate (AR1) · Mikael Everstig (AR2),1994-06-29,Alberto Tejada Noriega,NA,Group stage,United States,1994,N,1
Saudi Arabia,1,NA,NA,Jorge Solari,Majed Abdullah,Saeed Al-Owairan · 5,52959,"RFK Stadium, Washington Dc",Hellmut Krug (Referee) · Eugene Brazzale (AR1) · Ernesto Taibi (AR2),1994-06-29,Hellmut Krug,NA,Group stage,United States,1994,N,1
Mexico,1,NA,NA,Miguel Mejia Baron,Ignacio Ambríz,Marcelino Bernal · 57,52535,"RFK Stadium, Washington Dc",Francisco Oscar Lamolina (Referee) · Ernesto Taibi (AR1) · Eugene Brazzale (AR2),1994-06-28,Francisco Oscar Lamolina,NA,Group stage,United States,1994,N,0.5
Norway,0,NA,NA,Egil Olsen,Rune Bratseth,NA,72404,"Giants Stadium, New York/New Jersey",Jose Joaquin Torres Cadena (Referee) · Paulo Jorge Alves (AR1) · Hae-Yong Park (AR2),1994-06-28,Jose Joaquin Torres Cadena,NA,Group stage,United States,1994,N,0.5
Cameroon,1,NA,NA,Henri Michel,Stephen Tataw,Roger Milla · 46,74914,"Stanford Stadium, San Francisco",Jamal Al Sharif (Referee) · Gordon Dunster (AR1) · Jan Dolstra (AR2),1994-06-28,Jamal Al Sharif,NA,Group stage,United States,1994,N,0
Sweden,1,NA,NA,Tommy Svensson,Jonas Thern,Kennet Andersson · 23,77217,"Pontiac Silverdome, Detroit",Sandor Puhl (Referee) · Sandor Marton (AR1) · Luc Matthys (AR2),1994-06-28,Sandor Puhl,NA,Group stage,United States,1994,N,0.5
Korea Republic,2,NA,NA,Ho Kon Kim,Choi In-young,Hwang Sun-hong · 52|Hong Myung-bo · 63,63998,"Cotton Bowl, Dallas",Joel Quiniou (Referee) · Valentin Ivanov (AR1) · Abdel-Magid Hassan (AR2),1994-06-27,Joel Quiniou,NA,Group stage,United States,1994,N,0
Spain,3,NA,NA,Javier Clemente,Andoni Zubizarreta,Pep Guardiola (P) · 19|José Luis Caminero · 66|José Luis Caminero · 70,63089,"Soldier Field, Chicago",Rodrigo Badilla (Referee) · Raimundo Calix Garcia (AR1) · Yousif Abdulla Al Ghattan (AR2),1994-06-27,Rodrigo Badilla,NA,Group stage,United States,1994,N,1
Greece,0,NA,NA,Alkis Panagoulias,Stratos Apostolakis,NA,63160,"Soldier Field, Chicago",Ali Bujsaim (Referee) · Yousif Abdulla Al Ghattan (AR1) · Raimundo Calix Garcia (AR2),1994-06-26,Ali Bujsaim,NA,Group stage,United States,1994,N,0
Romania,1,NA,NA,Anghel Iordanescu,Gheorghe Hagi,Dan Petrescu · 18,93869,"Rose Bowl, Los Angeles",Mario Van Der Ende (Referee) · Jan Dolstra (AR1) · Gordon Dunster (AR2),1994-06-26,Mario Van Der Ende,NA,Group stage,United States,1994,N,1
Colombia,2,NA,NA,Francisco Maturana,Carlos Valderrama,Hernán Gaviria · 44|John Harold Lozano · 90,83401,"Stanford Stadium, San Francisco",Peter Mikkelsen (Referee) · Carl-Johan Meyer Christensen (AR1) · Douglas Micael James (AR2),1994-06-26,Peter Mikkelsen,NA,Group stage,United States,1994,N,1
Netherlands,0,NA,NA,Dick Advocaat,Ronald Koeman,NA,62387,"Citrus Bowl, Orlando",Renato Marsiglia (Referee) · Paulo Jorge Alves (AR1) · Michal Listkiewicz (AR2),1994-06-25,Renato Marsiglia,NA,Group stage,United States,1994,N,0
Morocco,1,NA,NA,Abdellah Blinda,Khalil Azmi,Mohammed Chaouch · 26,76322,"Giants Stadium, New York/New Jersey",Philip Don (Referee) · Roy Pearson (AR1) · Tapio Yli-Karro (AR2),1994-06-25,Philip Don,NA,Group stage,United States,1994,N,0
Nigeria,1,NA,NA,Clemens Westerhof,Peter Rufai,Samson Siasia · 8,54453,"Foxboro Stadium, Boston",Bo Karlsson (Referee) · Mikael Everstig (AR1) · Luc Matthys (AR2),1994-06-25,Bo Karlsson,NA,Group stage,United States,1994,N,0
Republic of Ireland,1,NA,NA,Jack Charlton,Andy Townsend,John Aldridge · 84,60790,"Citrus Bowl, Orlando",Kurt Roethlisberger (Referee) · Michal Listkiewicz (AR1) · Paulo Jorge Alves (AR2),1994-06-24,Kurt Roethlisberger,NA,Group stage,United States,1994,N,0
Cameroon,0,NA,NA,Henri Michel,Stephen Tataw,Rigobert Song · 63,83401,"Stanford Stadium, San Francisco",Arturo Brizio Carter (Referee) · Douglas Micael James (AR1) · Carl-Johan Meyer Christensen (AR2),1994-06-24,Arturo Brizio Carter,NA,Group stage,United States,1994,N,0
Russia,1,NA,NA,Pavel Sadyrin,Dmitri Kharine,Oleg Salenko (P) · 4|Sergei Gorlukovich · 49,71528,"Pontiac Silverdome, Detroit",Joel Quiniou (Referee) · Mohammad Fanaei (AR1) · Abdel-Magid Hassan (AR2),1994-06-24,Joel Quiniou,NA,Group stage,United States,1994,N,0
Norway,0,NA,NA,Egil Olsen,Rune Bratseth,NA,74624,"Giants Stadium, New York/New Jersey",Hellmut Krug (Referee) · Tapio Yli-Karro (AR1) · Roy Pearson (AR2),1994-06-23,Hellmut Krug,NA,Group stage,United States,1994,N,0
Bolivia,0,NA,NA,Xavier Azkargorta Uriarte,Carlos Fernando Borja,Luis Cristaldo · 82,54453,"Foxboro Stadium, Boston",Leslie Mottram (Referee) · Luc Matthys (AR1) · Mikael Everstig (AR2),1994-06-23,Leslie Mottram,NA,Group stage,United States,1994,N,0.5
Switzerland,4,NA,NA,Roy Hodgson,Alain Geiger,Alain Sutter · 16|Stéphane Chapuisat · 52|Adrian Knup · 65|Adrian Knup · 72,61428,"Pontiac Silverdome, Detroit",Neji Jouini (Referee) · Abdel-Magid Hassan (AR1) · Mohammad Fanaei (AR2),1994-06-22,Neji Jouini,NA,Group stage,United States,1994,N,1
Colombia,1,NA,NA,Francisco Maturana,Carlos Valderrama,Adolfo Valencia · 90,93869,"Rose Bowl, Los Angeles",Fabio Baldas (Referee) · Domenico Ramicone (AR1) · El Jilali Mohamed Rharib (AR2),1994-06-22,Fabio Baldas,NA,Group stage,United States,1994,N,0
Greece,0,NA,NA,Alkis Panagoulias,Dimitris Saravakos,NA,54456,"Foxboro Stadium, Boston",Arturo Angeles (Referee) · Hae-Yong Park (AR1) · Jan Dolstra (AR2),1994-06-21,Arturo Angeles,NA,Group stage,United States,1994,N,0
Spain,1,NA,NA,Javier Clemente,Andoni Zubizarreta,Ion Andoni Goikoetxea · 14,63113,"Soldier Field, Chicago",Ernesto Filippi (Referee) · Venancio Zarate (AR1) · Ernesto Taibi (AR2),1994-06-21,Ernesto Filippi,NA,Group stage,United States,1994,N,0.5
Bulgaria,0,NA,NA,Dimitar Penev,Borislav Mikhailov,NA,44132,"Cotton Bowl, Dallas",Rodrigo Badilla (Referee) · Gordon Dunster (AR1) · Eugene Brazzale (AR2),1994-06-21,Rodrigo Badilla,NA,Group stage,United States,1994,N,0
Russia,0,NA,NA,Pavel Sadyrin,Dmitri Kharine,NA,81061,"Stanford Stadium, San Francisco",An Yan Lim Kee Chong (Referee) · El Jilali Mohamed Rharib (AR1) · Domenico Ramicone (AR2),1994-06-20,An Yan Lim Kee Chong,NA,Group stage,United States,1994,N,0
Saudi Arabia,1,NA,NA,Jorge Solari,Majed Abdullah,Fuad Anwar · 18,50535,"RFK Stadium, Washington Dc",Manuel Diaz Vega (Referee) · Valentin Ivanov (AR1) · Sandor Marton (AR2),1994-06-20,Manuel Diaz Vega,NA,Group stage,United States,1994,N,0
Morocco,0,NA,NA,Abdellah Blinda,Mustafa El Haddaoui,NA,61219,"Citrus Bowl, Orlando",Jose Joaquin Torres Cadena (Referee) · Raimundo Calix Garcia (AR1) · Tapio Yli-Karro (AR2),1994-06-19,Jose Joaquin Torres Cadena,NA,Group stage,United States,1994,N,0
Mexico,0,NA,NA,Miguel Mejia Baron,Ignacio Ambríz,NA,52395,"RFK Stadium, Washington Dc",Sandor Puhl (Referee) · Sandor Marton (AR1) · Valentin Ivanov (AR2),1994-06-19,Sandor Puhl,NA,Group stage,United States,1994,N,0
Sweden,2,NA,NA,Tommy Svensson,Jonas Thern,Roger Ljung · 8|Martin Dahlin · 75,93194,"Rose Bowl, Los Angeles",Alberto Tejada Noriega (Referee) · Douglas Micael James (AR1) · Yousif Abdulla Al Ghattan (AR2),1994-06-19,Alberto Tejada Noriega,NA,Group stage,United States,1994,N,0.5
Switzerland,1,NA,NA,Roy Hodgson,Alain Geiger,Georges Bregy · 39,73425,"Pontiac Silverdome, Detroit",Francisco Oscar Lamolina (Referee) · Ernesto Taibi (AR1) · Venancio Zarate (AR2),1994-06-18,Francisco Oscar Lamolina,NA,Group stage,United States,1994,N,0.5
Republic of Ireland,1,NA,NA,Jack Charlton,Andy Townsend,Ray Houghton · 11,75338,"Giants Stadium, New York/New Jersey",Mario Van Der Ende (Referee) · Jan Dolstra (AR1) · Hae-Yong Park (AR2),1994-06-18,Mario Van Der Ende,NA,Group stage,United States,1994,N,1
Romania,3,NA,NA,Anghel Iordanescu,Gheorghe Hagi,Florin Răducioiu · 15|Gheorghe Hagi · 34|Florin Răducioiu · 89,91856,"Rose Bowl, Los Angeles",Jamal Al Sharif (Referee) · Yousif Abdulla Al Ghattan (AR1) · Douglas Micael James (AR2),1994-06-18,Jamal Al Sharif,NA,Group stage,United States,1994,N,1
Bolivia,0,NA,NA,Xavier Azkargorta Uriarte,Carlos Fernando Borja,Marco Etcheverry · 82,63117,"Soldier Field, Chicago",Arturo Brizio Carter (Referee) · Eugene Brazzale (AR1) · Gordon Dunster (AR2),1994-06-17,Arturo Brizio Carter,NA,Group stage,United States,1994,N,0
Korea Republic,2,NA,NA,Ho Kon Kim,Choi In-young,Hong Myung-bo · 85|Seo Jung-won · 90,56247,"Cotton Bowl, Dallas",Peter Mikkelsen (Referee) · Carl-Johan Meyer Christensen (AR1) · Roy Pearson (AR2),1994-06-17,Peter Mikkelsen,NA,Group stage,United States,1994,N,0.5
Argentina,0,NA,NA,Carlos Bilardo,Diego Maradona,Pedro Monzón · 65|Gustavo Dezotti · 87,73603,"Stadio Olimpico, Rome",Edgardo Codesal Mendez (Referee) · Armando Perez Hoyos (AR1) · Michal Listkiewicz (AR2),1990-07-08,Edgardo Codesal Mendez,NA,Final,Italy,1990,N,0
England,1,NA,NA,Bobby Robson,Peter Shilton,David Platt · 81,51426,"Stadio San Nicola, Bari",Joel Quiniou (Referee) · Mohamed Hansal (AR1) · Kurt Roethlisberger (AR2),1990-07-07,Joel Quiniou,NA,Third-place match,Italy,1990,N,0
England,1,NA,3,Bobby Robson,Terry Butcher,Gary Lineker · 80,62628,"Stadio delle Alpi, Turin",Jose Ramiz Wright (Referee) · Joel Quiniou (AR1) · Armando Perez Hoyos (AR2),1990-07-04,Jose Ramiz Wright,West Germany won on penalty kicks following extra time,Semi-finals,Italy,1990,N,0.5
Argentina,1,NA,4,Carlos Bilardo,Diego Maradona,Claudio Caniggia · 67|Ricardo Giusti · 103,59978,"San Paolo, Naples",Michel Vautrot (Referee) · Michal Listkiewicz (AR1) · Peter Mikkelsen (AR2),1990-07-03,Michel Vautrot,Argentina won on penalty kicks following extra time,Semi-finals,Italy,1990,N,0.5
Czechoslovakia,0,NA,NA,Jozef Venglos,Ivan Hašek,Ľubomír Moravčík · 70,73347,"Giuseppe Meazza, Milan",Helmut Kohl (Referee) · Peter Mikkelsen (AR1) · Michal Listkiewicz (AR2),1990-07-01,Helmut Kohl,NA,Quarter-finals,Italy,1990,N,0
Cameroon,2,NA,NA,Valeri Nepomnyashchi,Stephen Tataw,Emmanuel Kundé (P) · 61|Eugène Ekéké · 65,55205,"San Paolo, Naples",Edgardo Codesal Mendez (Referee) · Vincent Mauro (AR1) · Jassim Mandi (AR2),1990-07-01,Edgardo Codesal Mendez,Required Extra Time,Quarter-finals,Italy,1990,N,0
Argentina,0,NA,3,Carlos Bilardo,Diego Maradona,NA,38971,"Comunale, Florence",Kurt Roethlisberger (Referee) · Neji Jouini (AR1) · Mohamed Hansal (AR2),1990-06-30,Kurt Roethlisberger,Argentina won on penalty kicks following extra time,Quarter-finals,Italy,1990,N,0.5
Republic of Ireland,0,NA,NA,Jack Charlton,Mick McCarthy,NA,73303,"Stadio Olimpico, Rome",Carlos Alberto Silva Valente (Referee) · Armando Perez Hoyos (AR1) · Berny Ulloa Morera (AR2),1990-06-30,Carlos Alberto Silva Valente,NA,Quarter-finals,Italy,1990,N,0
Yugoslavia,2,NA,NA,Ivica Osim,Zlatko Vujović,Dragan Stojković · 78|Dragan Stojković · 93,35500,"Marc Antonio Bentegodi, Verona",Aron Schmidhuber (Referee) · Alan Snoddy (AR1) · Michal Listkiewicz (AR2),1990-06-26,Aron Schmidhuber,Required Extra Time,Round of 16,Italy,1990,N,1
Belgium,0,NA,NA,Guy Thys,Jan Ceulemans,NA,34520,"Renato Dall Ara, Bologna",Peter Mikkelsen (Referee) · Helmut Kohl (AR1) · Shizuo Takada (AR2),1990-06-26,Peter Mikkelsen,Required Extra Time,Round of 16,Italy,1990,N,0
Romania,0,NA,4,Emerich Jenei,Silviu Lung,NA,31818,"Luigi Ferraris, Genoa",Jose Ramiz Wright (Referee) · Carlos Maciel (AR1) · Jassim Mandi (AR2),1990-06-25,Jose Ramiz Wright,Rep. of Ireland won on penalty kicks following extra time,Round of 16,Italy,1990,N,0.5
Uruguay,0,NA,NA,Oscar Tabarez,Enzo Francescoli,NA,73303,"Stadio Olimpico, Rome",George Courtney (Referee) · Kurt Roethlisberger (AR1) · Zoran Petrovic (AR2),1990-06-25,George Courtney,NA,Round of 16,Italy,1990,N,0
Argentina,1,NA,NA,Carlos Bilardo,Diego Maradona,Claudio Caniggia · 81,61381,"Stadio delle Alpi, Turin",Joel Quiniou (Referee) · Alexey Spirin (AR1) · Pierluigi Pairetto (AR2),1990-06-24,Joel Quiniou,NA,Round of 16,Italy,1990,N,1
Netherlands,1,NA,NA,Leo Beenhakker,Ruud Gullit,Frank Rijkaard · 22|Ronald Koeman (P) · 89,74559,"Giuseppe Meazza, Milan",Juan Loustau (Referee) · Elias V. Jacome Guerrero (AR1) · Vincent Mauro (AR2),1990-06-24,Juan Loustau,NA,Round of 16,Italy,1990,N,0
Colombia,1,NA,NA,Francisco Maturana,Carlos Valderrama,Bernardo Redín · 115,50026,"San Paolo, Naples",Tullio Lanese (Referee) · Jamal Al Sharif (AR1) · Berny Ulloa Morera (AR2),1990-06-23,Tullio Lanese,Required Extra Time,Round of 16,Italy,1990,N,0
Costa Rica,1,NA,NA,Bora Milutinovic,Róger Flores,Rónald González Brenes · 55,47673,"Stadio San Nicola, Bari",Siegfried Kirschen (Referee) · Armando Perez Hoyos (AR1) · Pietro D Elia (AR2),1990-06-23,Siegfried Kirschen,NA,Round of 16,Italy,1990,N,0
Spain,2,NA,NA,Luis Suarez,Emilio Butragueño,Míchel (P) · 26|Alberto Górriz · 38,35950,"Marc Antonio Bentegodi, Verona",Juan Loustau (Referee) · Carlos Maciel (AR1) · Vincent Mauro (AR2),1990-06-21,Juan Loustau,NA,Group stage,Italy,1990,N,1
Uruguay,1,NA,NA,Oscar Tabarez,Enzo Francescoli,Daniel Fonseca · 90,29039,"Friuli, Udine",Tullio Lanese (Referee) · Jean Fidele Diramba (AR1) · Neji Jouini (AR2),1990-06-21,Tullio Lanese,NA,Group stage,Italy,1990,N,1
Netherlands,1,NA,NA,Leo Beenhakker,Ruud Gullit,Ruud Gullit · 11,33288,"Della Favorita, Palermo",Michel Vautrot (Referee) · Richard Lorenc (AR1) · Mohamed Hansal (AR2),1990-06-21,Michel Vautrot,NA,Group stage,Italy,1990,N,0.5
Egypt,0,NA,NA,Mahmoud El Gohary,Gamal Abdel-Hameed,NA,34959,"Sant Elia, Cagliari",Kurt Roethlisberger (Referee) · Berny Ulloa Morera (AR1) · Edgardo Codesal Mendez (AR2),1990-06-21,Kurt Roethlisberger,NA,Group stage,Italy,1990,N,0
Costa Rica,2,NA,NA,Bora Milutinovic,Róger Flores,Róger Flores · 75|Hernán Medford · 87,30223,"Luigi Ferraris, Genoa",Zoran Petrovic (Referee) · Alan Snoddy (AR1) · George Courtney (AR2),1990-06-20,Zoran Petrovic,NA,Group stage,Italy,1990,N,1
Scotland,0,NA,NA,Andy Roxburgh,Roy Aitken,NA,62502,"Stadio delle Alpi, Turin",Helmut Kohl (Referee) · Michal Listkiewicz (AR1) · Siegfried Kirschen (AR2),1990-06-20,Helmut Kohl,NA,Group stage,Italy,1990,N,0
Colombia,1,NA,NA,Francisco Maturana,Carlos Valderrama,Freddy Rincón · 90,72510,"Giuseppe Meazza, Milan",Alan Snoddy (Referee) · Jassim Mandi (AR1) · Tullio Lanese (AR2),1990-06-19,Alan Snoddy,NA,Group stage,Italy,1990,N,0.5
United Arab Emirates,1,NA,NA,Carlos Alberto Parreira,Abdulrahman Mohamed,Ali Thani Jumaa · 22|Khalil Ghanim · 76,27833,"Renato Dall Ara, Bologna",Shizuo Takada (Referee) · Peter Mikkelsen (AR1) · Michel Vautrot (AR2),1990-06-19,Shizuo Takada,NA,Group stage,Italy,1990,N,0
United States,1,NA,NA,Bob Gansler,Mike Windischmann,Bruce Murray · 83,34857,"Comunale, Florence",Jamal Al Sharif (Referee) · Richard Lorenc (AR1) · Zoran Petrovic (AR2),1990-06-19,Jamal Al Sharif,NA,Group stage,Italy,1990,N,0
Czechoslovakia,0,NA,NA,Jozef Venglos,Ivan Hašek,NA,73303,"Stadio Olimpico, Rome",Joel Quiniou (Referee) · Marcel Van Langenhove (AR1) · George Smith (AR2),1990-06-19,Joel Quiniou,NA,Group stage,Italy,1990,N,0
Romania,1,NA,NA,Emerich Jenei,Silviu Lung,Gabi Balint · 68,52733,"San Paolo, Naples",Carlos Alberto Silva Valente (Referee) · Berny Ulloa Morera (AR1) · Carlo Longhi (AR2),1990-06-18,Carlos Alberto Silva Valente,NA,Group stage,Italy,1990,N,0.5
Soviet Union,4,NA,NA,Valeriy Lobanovskyi,Anatoliy Demyanenko,Oleh Protasov · 20|Andrei Zygmantovich · 29|Oleksandr Zavarov · 52|Igor Dobrovolski · 63,37307,"Stadio San Nicola, Bari",Jose Ramiz Wright (Referee) · Pietro D Elia (AR1) · Kurt Roethlisberger (AR2),1990-06-18,Jose Ramiz Wright,NA,Group stage,Italy,1990,N,1
Egypt,0,NA,NA,Mahmoud El Gohary,Rabie Yassin,NA,33288,"Della Favorita, Palermo",Marcel Van Langenhove (Referee) · Joel Quiniou (AR1) · Rosario Lo Bello (AR2),1990-06-17,Marcel Van Langenhove,NA,Group stage,Italy,1990,N,0.5
Uruguay,1,NA,NA,Oscar Tabarez,Enzo Francescoli,Pablo Bengoechea · 73,33759,"Marc Antonio Bentegodi, Verona",Siegfried Kirschen (Referee) · Peter Mikkelsen (AR1) · Alexey Spirin (AR2),1990-06-17,Siegfried Kirschen,NA,Group stage,Italy,1990,N,0
Spain,3,NA,NA,Luis Suarez,Emilio Butragueño,Míchel · 23|Míchel · 61|Míchel · 81,32733,"Dacia Arena, Udine",Elias V. Jacome Guerrero (Referee) · Pierluigi Magni (AR1) · Juan Loustau (AR2),1990-06-17,Elias V. Jacome Guerrero,NA,Group stage,Italy,1990,N,1
Costa Rica,0,NA,NA,Bora Milutinovic,Róger Flores,NA,58007,"Stadio delle Alpi, Turin",Neji Jouini (Referee) · Jean Fidele Diramba (AR1) · Jassim Mandi (AR2),1990-06-16,Neji Jouini,NA,Group stage,Italy,1990,N,0
Netherlands,0,NA,NA,Leo Beenhakker,Ruud Gullit,NA,35267,"Sant Elia, Cagliari",Zoran Petrovic (Referee) · Mohamed Hansal (AR1) · Edgardo Codesal Mendez (AR2),1990-06-16,Zoran Petrovic,NA,Group stage,Italy,1990,N,0.5
Scotland,2,NA,NA,Andy Roxburgh,Roy Aitken,Stuart McCall · 11|Mo Johnston (P) · 81,31823,"Luigi Ferraris, Genoa",Carlos Maciel (Referee) · Vincent Mauro (AR1) · Michal Listkiewicz (AR2),1990-06-16,Carlos Maciel,NA,Group stage,Italy,1990,N,1
Czechoslovakia,1,NA,NA,Jozef Venglos,Ivan Hašek,Michal Bílek (P) · 31,38962,"Comunale, Florence",George Smith (Referee) · Richard Lorenc (AR1) · Jamal Al Sharif (AR2),1990-06-15,George Smith,NA,Group stage,Italy,1990,N,1
United Arab Emirates,1,NA,NA,Carlos Alberto Parreira,Abdulrahman Mohamed,Khalid Ismaïl · 46,71169,"Giuseppe Meazza, Milan",Alexey Spirin (Referee) · Shizuo Takada (AR1) · Pierluigi Pairetto (AR2),1990-06-15,Alexey Spirin,NA,Group stage,Italy,1990,N,0
Colombia,0,NA,NA,Francisco Maturana,Carlos Valderrama,NA,32257,"Renato Dall Ara, Bologna",Luigi Agnolin (Referee) · Neji Jouini (AR1) · Jean Fidele Diramba (AR2),1990-06-14,Luigi Agnolin,NA,Group stage,Italy,1990,N,0
Romania,1,NA,NA,Emerich Jenei,Silviu Lung,Gabi Balint · 88,38687,"Stadio San Nicola, Bari",Hernan Silva Arce (Referee) · Carlos Alberto Silva Valente (AR1) · Armando Perez Hoyos (AR2),1990-06-14,Hernan Silva Arce,NA,Group stage,Italy,1990,N,0
United States,0,NA,NA,Bob Gansler,Mike Windischmann,NA,73423,"Stadio Olimpico, Rome",Edgardo Codesal Mendez (Referee) · Juan Cardellino De San Vicente (AR1) · Berny Ulloa Morera (AR2),1990-06-14,Edgardo Codesal Mendez,NA,Group stage,Italy,1990,N,0
Spain,0,NA,NA,Luis Suarez,Emilio Butragueño,NA,35713,"Dacia Arena, Udine",Helmut Kohl (Referee) · Alexey Spirin (AR1) · Siegfried Kirschen (AR2),1990-06-13,Helmut Kohl,NA,Group stage,Italy,1990,N,0.5
Soviet Union,0,NA,NA,Valeriy Lobanovskyi,Oleh Kuznetsov,Volodymyr Bezsonov · 48,55759,"San Paolo, Naples",Erik Fredriksson (Referee) · Jose Ramiz Wright (AR1) · Jamal Al Sharif (AR2),1990-06-13,Erik Fredriksson,NA,Group stage,Italy,1990,N,0
Korea Republic,0,NA,NA,Hoe Taik Lee,Chung Yong-hwan,NA,32790,"Marc Antonio Bentegodi, Verona",Vincent Mauro (Referee) · Alan Snoddy (AR1) · George Courtney (AR2),1990-06-12,Vincent Mauro,NA,Group stage,Italy,1990,N,0
Egypt,1,NA,NA,Mahmoud El Gohary,Gamal Abdel-Hameed,Magdi Abdelghani (P) · 83,33288,"Della Favorita, Palermo",Emilio Soriano Aladren (Referee) · Edgardo Codesal Mendez (AR1) · Juan Cardellino De San Vicente (AR2),1990-06-12,Emilio Soriano Aladren,NA,Group stage,Italy,1990,N,0.5
Scotland,0,NA,NA,Andy Roxburgh,Roy Aitken,NA,30867,"Luigi Ferraris, Genoa",Juan Loustau (Referee) · Carlos Maciel (AR1) · Elias V. Jacome Guerrero (AR2),1990-06-11,Juan Loustau,NA,Group stage,Italy,1990,N,0
Republic of Ireland,1,NA,NA,Jack Charlton,Mick McCarthy,Kevin Sheedy · 73,35238,"Sant Elia, Cagliari",Aron Schmidhuber (Referee) · Erik Fredriksson (AR1) · Kurt Roethlisberger (AR2),1990-06-11,Aron Schmidhuber,NA,Group stage,Italy,1990,N,0.5
Czechoslovakia,5,NA,NA,Jozef Venglos,Ivan Hašek,Tomáš Skuhravý · 26|Michal Bílek (P) · 40|Ivan Hašek · 50|Tomáš Skuhravý · 78|Milan Luhový · 90,33266,"Comunale, Florence",Kurt Roethlisberger (Referee) · Marcel Van Langenhove (AR1) · Aron Schmidhuber (AR2),1990-06-10,Kurt Roethlisberger,NA,Group stage,Italy,1990,N,1
Yugoslavia,1,NA,NA,Ivica Osim,Zlatko Vujović,Davor Jozić · 55,74765,"Giuseppe Meazza, Milan",Peter Mikkelsen (Referee) · Jassim Mandi (AR1) · Michal Listkiewicz (AR2),1990-06-10,Peter Mikkelsen,NA,Group stage,Italy,1990,N,0
Sweden,1,NA,NA,Olle Nordin,Jonas Thern,Tomas Brolin · 79,62628,"Stadio delle Alpi, Turin",Tullio Lanese (Referee) · Michel Vautrot (AR1) · Neji Jouini (AR2),1990-06-10,Tullio Lanese,NA,Group stage,Italy,1990,N,0
Colombia,2,NA,NA,Francisco Maturana,Carlos Valderrama,Bernardo Redín · 50|Carlos Valderrama · 85,30791,"Renato Dall Ara, Bologna",George Courtney (Referee) · Shizuo Takada (AR1) · Alan Snoddy (AR2),1990-06-09,George Courtney,NA,Group stage,Italy,1990,N,1
Romania,2,NA,NA,Emerich Jenei,Silviu Lung,Marius Lăcătuș · 41|Marius Lăcătuș (P) · 55,42907,"Stadio San Nicola, Bari",Juan Cardellino De San Vicente (Referee) · Emilio Soriano Aladren (AR1) · Hernan Silva Arce (AR2),1990-06-09,Juan Cardellino De San Vicente,NA,Group stage,Italy,1990,N,1
Austria,0,NA,NA,Josef Hickersberger,Toni Polster,NA,73303,"Stadio Olimpico, Rome",Jose Ramiz Wright (Referee) · Armando Perez Hoyos (AR1) · Carlos Alberto Silva Valente (AR2),1990-06-09,Jose Ramiz Wright,NA,Group stage,Italy,1990,N,0
